 m log_g n_obs baseline sigma_obs threshold TP TP_std dt_yrs
73 0.8 3.0 5.0 0.5 0.5 0.9997 0.23891394 0.010692307 0.5
74 0.8 3.0 5.0 0.5 1.0 0.9997 0.19905621 0.011364787 0.5
75 0.8 3.0 5.0 1.0 0.1 0.9997 0.3674026 0.0105736945 1.0
76 0.8 3.0 5.0 1.0 0.5 0.9997 0.27048987 0.013293658 1.0
77 0.8 3.0 5.0 1.0 1.0 0.9997 0.22254594 0.014813645 1.0
78 0.8 3.0 5.0 2.0 0.1 0.9997 0.40412566 0.013940132 2.0
79 0.8 3.0 5.0 2.0 0.5 0.9997 0.30684856 0.016430655 2.0
80 0.8 3.0 5.0 2.0 1.0 0.9997 0.24491322 0.015822647 2.0
81 0.8 3.0 5.0 3.0 0.1 0.9997 0.43504483 0.012747877 3.0
82 0.8 3.0 5.0 3.0 0.5 0.9997 0.3210434 0.0147138685 3.0
83 0.8 3.0 5.0 3.0 1.0 0.9997 0.24879196 0.013736655 3.0
84 0.8 3.0 10.0 0.5 0.1 0.9997 0.3392261 0.017218119 0.5
85 0.8 3.0 10.0 0.5 0.5 0.9997 0.26080284 0.017072031 0.5
86 0.8 3.0 10.0 0.5 1.0 0.9997 0.22405775 0.018987868 0.5
87 0.8 3.0 10.0 1.0 0.1 0.9997 0.38787413 0.018384563 1.0
88 0.8 3.0 10.0 1.0 0.5 0.9997 0.29305723 0.01751644 1.0
89 0.8 3.0 10.0 1.0 1.0 0.9997 0.25113854 0.015485089 1.0
90 0.8 3.0 10.0 2.0 0.1 0.9997 0.43266106 0.015165424 2.0
91 0.8 3.0 10.0 2.0 0.5 0.9997 0.33577183 0.011728126 2.0
92 0.8 3.0 10.0 2.0 1.0 0.9997 0.28982338 0.012169093 2.0
93 0.8 3.0 10.0 3.0 0.1 0.9997 0.46277687 0.012081969 3.0
94 0.8 3.0 10.0 3.0 0.5 0.9997 0.3637508 0.008966521 3.0
95 0.8 3.0 10.0 3.0 1.0 0.9997 0.30113837 0.008130116 3.0
96 0.8 3.0 20.0 0.5 0.1 0.9997 0.3639044 0.008233444 0.5
97 0.8 3.0 20.0 0.5 0.5 0.9997 0.27779052 0.010540344 0.5
98 0.8 3.0 20.0 0.5 1.0 0.9997 0.2438424 0.0066834176 0.5
99 0.8 3.0 20.0 1.0 0.1 0.9997 0.41399536 0.013019775 1.0
100 0.8 3.0 20.0 1.0 0.5 0.9997 0.3217145 0.008064744 1.0
101 0.8 3.0 20.0 1.0 1.0 0.9997 0.2810181 0.010145559 1.0
102 0.8 3.0 20.0 2.0 0.1 0.9997 0.45692047 0.011892274 2.0
103 0.8 3.0 20.0 2.0 0.5 0.9997 0.36299646 0.010787592 2.0
104 0.8 3.0 20.0 2.0 1.0 0.9997 0.32054523 0.012140758 2.0
