 m log_g n_obs baseline sigma_obs threshold TP dt_yrs
90 0.8 3.0 10.0 2.0 0.1 0.9997 0.0 2.0
91 0.8 3.0 10.0 2.0 0.5 0.9997 0.0 2.0
92 0.8 3.0 10.0 2.0 1.0 0.9997 0.0 2.0
93 0.8 3.0 10.0 3.0 0.1 0.9997 0.0 3.0
94 0.8 3.0 10.0 3.0 0.5 0.9997 0.0 3.0
95 0.8 3.0 10.0 3.0 1.0 0.9997 0.0 3.0
96 0.8 3.0 20.0 0.5 0.1 0.9997 0.0 0.5
97 0.8 3.0 20.0 0.5 0.5 0.9997 0.0 0.5
98 0.8 3.0 20.0 0.5 1.0 0.9997 0.0 0.5
99 0.8 3.0 20.0 1.0 0.1 0.9997 0.0 1.0
100 0.8 3.0 20.0 1.0 0.5 0.9997 0.0 1.0
101 0.8 3.0 20.0 1.0 1.0 0.9997 0.0 1.0
102 0.8 3.0 20.0 2.0 0.1 0.9997 0.0 2.0
103 0.8 3.0 20.0 2.0 0.5 0.9997 0.0 2.0
104 0.8 3.0 20.0 2.0 1.0 0.9997 0.0 2.0
105 0.8 3.0 20.0 3.0 0.1 0.9997 0.0 3.0
106 0.8 3.0 20.0 3.0 0.5 0.9997 0.0 3.0
107 0.8 3.0 20.0 3.0 1.0 0.9997 0.0 3.0
108 0.8 3.0 30.0 0.5 0.1 0.9997 0.0 0.5
109 0.8 3.0 30.0 0.5 0.5 0.9997 0.0 0.5
110 0.8 3.0 30.0 0.5 1.0 0.9997 0.0 0.5
111 0.8 3.0 30.0 1.0 0.1 0.9997 0.0 1.0
112 0.8 3.0 30.0 1.0 0.5 0.9997 0.0 1.0
113 0.8 3.0 30.0 1.0 1.0 0.9997 0.0 1.0
114 0.8 3.0 30.0 2.0 0.1 0.9997 0.0 2.0
115 0.8 3.0 30.0 2.0 0.5 0.9997 0.0 2.0
116 0.8 3.0 30.0 2.0 1.0 0.9997 0.0 2.0
117 0.8 3.0 30.0 3.0 0.1 0.9997 0.0 3.0
118 0.8 3.0 30.0 3.0 0.5 0.9997 0.0 3.0
119 0.8 3.0 30.0 3.0 1.0 0.9997 0.0 3.0
120 0.8 4.0 3.0 0.5 0.1 0.9997 0.0 0.5
121 0.8 4.0 3.0 0.5 0.5 0.9997 0.0 0.5
122 0.8 4.0 3.0 0.5 1.0 0.9997 0.0 0.5
123 0.8 4.0 3.0 1.0 0.1 0.9997 0.0 1.0
124 0.8 4.0 3.0 1.0 0.5 0.9997 0.0 1.0
125 0.8 4.0 3.0 1.0 1.0 0.9997 0.0 1.0
126 0.8 4.0 3.0 2.0 0.1 0.9997 0.0 2.0
127 0.8 4.0 3.0 2.0 0.5 0.9997 0.0 2.0
128 0.8 4.0 3.0 2.0 1.0 0.9997 0.0 2.0
129 0.8 4.0 3.0 3.0 0.1 0.9997 0.0 3.0
130 0.8 4.0 3.0 3.0 0.5 0.9997 0.0 3.0
131 0.8 4.0 3.0 3.0 1.0 0.9997 0.0 3.0
132 0.8 4.0 5.0 0.5 0.1 0.9997 0.0 0.5
133 0.8 4.0 5.0 0.5 0.5 0.9997 0.0 0.5
134 0.8 4.0 5.0 0.5 1.0 0.9997 0.0 0.5
135 0.8 4.0 5.0 1.0 0.1 0.9997 0.0 1.0
136 0.8 4.0 5.0 1.0 0.5 0.9997 0.0 1.0
137 0.8 4.0 5.0 1.0 1.0 0.9997 0.0 1.0
138 0.8 4.0 5.0 2.0 0.1 0.9997 0.0 2.0
139 0.8 4.0 5.0 2.0 0.5 0.9997 0.0 2.0
140 0.8 4.0 5.0 2.0 1.0 0.9997 0.0 2.0
141 0.8 4.0 5.0 3.0 0.1 0.9997 0.0 3.0
142 0.8 4.0 5.0 3.0 0.5 0.9997 0.0 3.0
143 0.8 4.0 5.0 3.0 1.0 0.9997 0.0 3.0
144 0.8 4.0 10.0 0.5 0.1 0.9997 0.0 0.5
145 0.8 4.0 10.0 0.5 0.5 0.9997 0.0 0.5
146 0.8 4.0 10.0 0.5 1.0 0.9997 0.0 0.5
147 0.8 4.0 10.0 1.0 0.1 0.9997 0.0 1.0
148 0.8 4.0 10.0 1.0 0.5 0.9997 0.0 1.0
149 0.8 4.0 10.0 1.0 1.0 0.9997 0.0 1.0
150 0.8 4.0 10.0 2.0 0.1 0.9997 0.0 2.0
151 0.8 4.0 10.0 2.0 0.5 0.9997 0.0 2.0
152 0.8 4.0 10.0 2.0 1.0 0.9997 0.0 2.0
153 0.8 4.0 10.0 3.0 0.1 0.9997 0.0 3.0
154 0.8 4.0 10.0 3.0 0.5 0.9997 0.0 3.0
155 0.8 4.0 10.0 3.0 1.0 0.9997 0.0 3.0
156 0.8 4.0 20.0 0.5 0.1 0.9997 0.0 0.5
157 0.8 4.0 20.0 0.5 0.5 0.9997 0.0 0.5
158 0.8 4.0 20.0 0.5 1.0 0.9997 0.0 0.5
159 0.8 4.0 20.0 1.0 0.1 0.9997 0.0 1.0
160 0.8 4.0 20.0 1.0 0.5 0.9997 0.0 1.0
161 0.8 4.0 20.0 1.0 1.0 0.9997 0.0 1.0
162 0.8 4.0 20.0 2.0 0.1 0.9997 0.0 2.0
163 0.8 4.0 20.0 2.0 0.5 0.9997 0.0 2.0
164 0.8 4.0 20.0 2.0 1.0 0.9997 0.0 2.0
165 0.8 4.0 20.0 3.0 0.1 0.9997 0.0 3.0
166 0.8 4.0 20.0 3.0 0.5 0.9997 0.0 3.0
167 0.8 4.0 20.0 3.0 1.0 0.9997 0.0 3.0
168 0.8 4.0 30.0 0.5 0.1 0.9997 0.0 0.5
169 0.8 4.0 30.0 0.5 0.5 0.9997 0.0 0.5
170 0.8 4.0 30.0 0.5 1.0 0.9997 0.0 0.5
171 0.8 4.0 30.0 1.0 0.1 0.9997 0.0 1.0
172 0.8 4.0 30.0 1.0 0.5 0.9997 0.0 1.0
173 0.8 4.0 30.0 1.0 1.0 0.9997 0.0 1.0
174 0.8 4.0 30.0 2.0 0.1 0.9997 0.0 2.0
175 0.8 4.0 30.0 2.0 0.5 0.9997 0.0 2.0
176 0.8 4.0 30.0 2.0 1.0 0.9997 0.0 2.0
177 0.8 4.0 30.0 3.0 0.1 0.9997 0.0 3.0
178 0.8 4.0 30.0 3.0 0.5 0.9997 0.0 3.0
179 0.8 4.0 30.0 3.0 1.0 0.9997 0.0 3.0
